SignalName,ActivityFactor
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_asFlow_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.WhiteboxerPlugin_logic_prediction_learns_0_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.streamArbiter_1.io_inputs_0_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.streamArbiter_1.io_output_payload_pcOnLastSlice[31:0],0.28825547
TOP.VexiiRiscv.early0_BranchPlugin_pcCalc_target_a[31:0],0.28638410
TOP.VexiiRiscv.streamArbiter_1_io_output_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.execute_ctrl2_down_early0_BranchPlugin_pcCalc_PC_TRUE_lane0[31:0],0.28243260
TOP.VexiiRiscv.early0_BranchPlugin_logic_pcPort_payload_pc[31:0],0.28243260
TOP.VexiiRiscv.early0_BranchPlugin_logic_trapPort_payload_tval[31:0],0.28243260
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.LearnPlugin_logic_learn_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.LearnPlugin_logic_buffered_0_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.LearnPlugin_logic_arbitrated_toFlow_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.early0_BranchPlugin_logic_jumpLogic_learn_asFlow_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.WhiteboxerPlugin_logic_prediction_learns_0_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.streamArbiter_1.io_inputs_0_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.streamArbiter_1.io_output_payload_pcTarget[31:0],0.28243260
TOP.VexiiRiscv.WhiteboxerPlugin_logic_commits_ports_0_pc[31:0],0.28159431
TOP.VexiiRiscv.WhiteboxerPlugin_logic_commits_ports_0_uop[31:0],0.28159431
TOP.VexiiRiscv.early0_BranchPlugin_pcCalc_target_b[31:0],0.27711271
TOP.VexiiRiscv.execute_ctrl5_up_lane0_integer_WriteBackPlugin_logic_DATA_lane0[31:0],0.27599827
TOP.VexiiRiscv.execute_ctrl5_down_lane0_integer_WriteBackPlugin_logic_DATA_lane0[31:0],0.27599827
TOP.VexiiRiscv.execute_ctrl4_down_lane0_integer_WriteBackPlugin_logic_DATA_lane0[31:0],0.27599827
TOP.VexiiRiscv.execute_ctrl4_lane0_integer_WriteBackPlugin_logic_DATA_lane0_bypass[31:0],0.27599827
TOP.VexiiRiscv.lane0_integer_WriteBackPlugin_logic_stages_2_merged[31:0],0.27599827
TOP.VexiiRiscv.lane0_integer_WriteBackPlugin_logic_write_port_data[31:0],0.27599827
TOP.VexiiRiscv.integer_RegFilePlugin_logic_writeMerges_0_bus_data[31:0],0.27599827
TOP.VexiiRiscv.integer_write_0_data[31:0],0.27599827
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga_io_writes_0_data[31:0],0.27599498
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.io_writes_0_data[31:0],0.27599498
TOP.VexiiRiscv.integer_RegFilePlugin_logic_regfile_fpga.conv_writes_0_payload_data[31:0],0.27599498
