SignalName,ActivityFactor
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_0_port_payload_commit,0.01426029
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_1_port_payload_commit,0.01426029
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_2_port_payload_trap,0.01426029
TOP.VexiiRiscv.execute_lane0_logic_completions_onCtrl_2_port_payload_commit,0.01426029
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_1_payload_trap,0.01426029
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_1_payload_commit,0.01426029
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_2_payload_commit,0.01426029
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_3_payload_trap,0.01426029
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_3_payload_commit,0.01426029
TOP.VexiiRiscv.execute_ctrl5_up_COMMIT_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl4_up_COMPLETION_AT_4_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl1_down_COMPLETED_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl0_down_COMPLETED_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl0_down_TRAP_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl1_up_COMPLETED_lane0,0.01425405
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_Fetch_WORD_PC[31:0],0.01425405
TOP.VexiiRiscv.execute_ctrl5_down_COMMIT_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl0_up_COMPLETED_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl0_up_TRAP_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl4_down_COMPLETION_AT_4_lane0,0.01425405
TOP.VexiiRiscv.execute_ctrl2_up_COMPLETED_lane0,0.01425405
TOP.VexiiRiscv.decode_ctrls_1_TRAP_0_bypass,0.01425405
TOP.VexiiRiscv.decode_ctrls_1_down_TRAP_0,0.01425405
TOP.VexiiRiscv.decode_ctrls_0_down_PC_0[31:0],0.01425405
TOP.VexiiRiscv.decode_ctrls_0_up_PC_0[31:0],0.01425405
TOP.VexiiRiscv.fetch_logic_ctrls_1_down_Fetch_WORD_PC[31:0],0.01425405
TOP.VexiiRiscv.FetchCachelessPlugin_logic_trapPort_payload_tval[31:0],0.01425405
